,Date,Market,Capital_used,ROI,Profit_Loss,Opened_trades,Closed_trades,Profitable_trades,Loosing_trades,Targets_met,Stoplosses_hit,broker_name,segment,trade_type,long_short,hourly_slots,pre_planned_or_adhoc,strategy_id
63,12/04/2021,IND,130938,0.2,6285.02,21,33,9,24,1,12,A,Shares,positional,Long,1,1,2
64,16/04/2021,IND,81934,0.32,-2130.28,9,36,13,23,6,11,C,Commodities,scalping,Short,4,1,7
65,17/06/2021,IND,451106,-0.04,-22555.3,19,31,22,9,13,2,C, Equity,scalping,Long,2,1,6
66,29/06/2021,IND,1228774,0.32,27033.03,23,29,7,22,2,2,A,Shares,intraday,Long,4,1,8
67,10/06/2021,IND,145373,0.27,-2253.28,19,13,10,3,7,1,B, Equity,swing,Long,4,2,4
68,25/04/2021,IND,1109872,-0.0,32186.29,3,25,23,2,11,0,A,Forex,scalping,Short,2,1,1
69,16/04/2021,IND,302854,0.32,-7117.07,29,7,5,2,0,0,C,Shares,positional,Short,3,1,9
70,20/05/2021,IND,1112278,-0.46,-17240.31,40,5,5,0,0,0,A,Forex,swing,Long,4,1,7
71,05/05/2021,IND,310740,-0.48,-4971.84,48,30,26,4,18,4,D,Commodities,intraday,Long,4,1,4
72,08/04/2021,IND,1489770,0.07,14152.82,1,17,5,12,0,8,A,Shares,scalping,Short,2,1,7
73,19/04/2021,IND,419613,-0.85,-19302.2,28,8,8,0,5,0,A,FnO,intraday,Long,2,1,4
74,06/06/2021,IND,1470929,-0.45,-8090.11,42,9,5,4,2,3,B,Forex,swing,Long,3,1,8
75,17/06/2021,IND,1051942,-0.04,-18934.96,42,2,2,0,0,0,A, Equity,intraday,Long,2,1,10
76,15/04/2021,IND,1172812,-0.14,-14073.74,8,23,17,6,13,0,C,Commodities,scalping,Long,3,2,1
77,19/06/2021,IND,595981,-0.39,28607.09,5,23,23,0,19,0,D,Forex,intraday,Long,2,2,7
78,24/06/2021,IND,1151030,0.18,-12085.82,33,35,32,3,4,0,D,Forex,swing,Short,3,1,1
79,18/07/2021,IND,942258,-0.68,-23556.45,3,30,7,23,4,22,A,Commodities,positional,Long,2,2,7
80,20/04/2021,IND,273135,0.48,7238.08,33,18,15,3,9,2,C, Equity,swing,Long,1,2,3
81,09/07/2021,IND,828329,-0.08,33547.32,30,50,1,49,0,35,D,Forex,intraday,Long,4,2,1
82,26/05/2021,IND,726016,-0.14,-9075.2,21,21,6,15,3,1,C,FnO,positional,Long,2,2,1
83,14/05/2021,IND,805789,-1.39,34246.03,45,26,9,17,3,13,D,Commodities,intraday,Short,2,2,3
84,23/05/2021,IND,854602,1.47,41448.2,1,47,17,30,6,9,B,Commodities,scalping,Long,1,2,2
85,05/06/2021,IND,1476156,0.04,-35427.74,38,36,31,5,17,3,A,Forex,positional,Short,2,2,4
86,01/06/2021,IND,1275703,-1.27,-38908.94,34,13,13,0,8,0,B,Shares,positional,Short,4,1,4
87,12/05/2021,IND,88816,0.38,-3419.42,32,23,13,10,4,3,C,Shares,positional,Long,1,2,5
88,16/04/2021,IND,386281,0.32,-19314.05,30,12,4,8,3,5,B,Forex,scalping,Long,4,2,9
89,25/05/2021,IND,897554,-0.75,-11668.2,13,38,34,4,27,3,A,FnO,intraday,Long,3,1,7
90,21/04/2021,IND,306897,-0.19,8593.12,49,8,7,1,5,0,C,Shares,scalping,Short,1,1,9
91,21/05/2021,IND,1089426,0.14,-20154.38,10,25,16,9,16,2,D,Commodities,swing,Long,4,1,3
92,01/04/2021,IND,1013533,-0.24,-13175.93,33,32,28,4,6,3,D,FnO,positional,Short,2,1,4
93,05/04/2021,IND,582324,0.28,-18052.04,48,4,4,0,1,0,B,FnO,scalping,Short,4,2,9
94,23/06/2021,IND,1268140,-0.55,-52627.81,5,15,14,1,6,0,A, Equity,positional,Short,2,1,1
95,23/04/2021,IND,686361,0.95,-29170.34,29,1,1,0,0,0,D,Forex,scalping,Long,3,1,7
96,16/05/2021,IND,942429,-0.41,-18848.58,35,14,11,3,2,1,A,Shares,positional,Long,2,1,5
97,16/05/2021,IND,1241499,-0.41,14277.24,48,29,29,0,11,0,B,Forex,intraday,Long,1,1,9
98,24/05/2021,IND,961570,-0.59,-47116.93,19,42,23,19,15,12,A,FnO,scalping,Short,1,2,2
99,07/07/2021,IND,1385955,-0.36,-15938.48,34,39,13,26,11,15,D,Commodities,positional,Long,3,1,9
100,11/05/2021,IND,810106,0.42,10531.38,14,49,38,11,6,3,B,Shares,positional,Long,4,2,3
101,14/07/2021,IND,762940,0.69,-9155.28,14,48,17,31,9,11,C,Commodities,scalping,Long,1,1,6
102,04/05/2021,IND,1360325,-0.21,42850.24,20,28,4,24,3,16,A, Equity,positional,Long,4,1,5
103,06/07/2021,IND,118901,0.25,2794.17,16,18,13,5,9,2,B, Equity,swing,Short,2,1,3
104,10/07/2021,IND,838190,-1.1,-38975.83,46,46,29,17,25,14,B,FnO,scalping,Long,3,2,1
105,08/07/2021,IND,654178,0.01,24531.67,21,22,21,1,3,1,C, Equity,positional,Long,4,2,9
106,30/04/2021,IND,863539,-0.93,-6908.31,42,10,5,5,3,3,A,Commodities,intraday,Long,1,2,9
107,09/05/2021,IND,673419,-0.84,-14141.8,25,46,4,42,3,30,B, Equity,swing,Long,2,2,5
108,16/05/2021,IND,794613,-0.41,3973.07,27,18,11,7,9,3,A, Equity,scalping,Short,2,1,7
109,24/06/2021,IND,1089739,0.18,9807.65,29,35,34,1,31,0,B,Forex,positional,Short,2,2,5
110,07/07/2021,IND,418958,-0.36,4818.02,42,7,0,7,0,1,D,FnO,swing,Long,2,2,3
111,16/06/2021,IND,299244,0.01,6882.61,31,14,14,0,4,0,D,FnO,intraday,Long,1,2,1
112,02/04/2021,IND,1064360,-0.81,-50557.1,45,47,13,34,11,23,D,Commodities,intraday,Short,4,2,5
113,05/04/2021,IND,753393,0.28,31265.81,7,30,25,5,22,5,B,Commodities,swing,Long,2,1,10
114,19/06/2021,IND,534030,-0.39,22963.29,18,36,14,22,11,19,D,FnO,positional,Short,4,1,6
115,12/05/2021,IND,175524,0.38,-1579.72,47,1,1,0,0,0,B,Commodities,scalping,Short,4,1,5
116,10/04/2021,IND,1078881,-0.12,-16183.22,48,14,11,3,0,0,C, Equity,scalping,Short,4,1,1
117,02/07/2021,IND,220644,-0.26,-5185.13,44,17,1,16,1,6,B,Shares,scalping,Short,2,2,6
118,23/05/2021,IND,249731,1.47,-6243.27,10,27,23,4,13,4,C,Shares,intraday,Long,4,1,1
119,06/04/2021,IND,219909,0.32,7586.86,49,2,1,1,1,0,A,Shares,swing,Short,1,1,6
120,03/07/2021,IND,1233774,-0.17,6785.76,12,22,0,22,0,1,D, Equity,scalping,Long,2,1,4
121,06/05/2021,IND,249314,-1.01,-11842.42,4,36,34,2,4,0,D,FnO,swing,Short,4,1,10
122,14/06/2021,IND,445819,-0.05,-9362.2,43,46,17,29,2,12,A,Shares,scalping,Long,2,2,8
123,05/04/2021,IND,109024,0.28,-872.19,48,22,22,0,17,0,A,FnO,scalping,Short,1,1,8
124,02/06/2021,IND,567913,-0.92,12494.09,3,28,17,11,0,6,B,Forex,scalping,Long,4,1,3
125,06/05/2021,IND,1336203,-1.01,-28728.36,44,4,0,4,0,4,C,FnO,intraday,Long,3,2,4
126,06/05/2021,IND,103098,-1.01,4278.57,49,1,0,1,0,0,C,Forex,positional,Long,3,1,3
127,30/06/2021,IND,1155179,0.6,-15594.92,25,5,4,1,1,0,A,FnO,intraday,Long,3,2,4
128,18/06/2021,IND,451339,-0.04,10155.13,5,6,6,0,6,0,A,Shares,scalping,Long,4,1,7
129,16/05/2021,IND,1464622,-0.41,-9520.04,28,25,25,0,2,0,A,Forex,scalping,Short,1,2,5
130,21/05/2021,IND,634570,0.14,-7614.84,48,9,2,7,2,7,D,Forex,scalping,Short,4,2,6
131,27/05/2021,IND,1376885,-0.67,-18587.95,38,35,11,24,11,0,C,FnO,intraday,Long,2,2,1
132,11/06/2021,IND,894994,0.8,10292.43,22,38,17,21,17,12,A,FnO,scalping,Long,4,1,6
133,07/05/2021,IND,264095,-0.11,10827.9,6,1,0,1,0,0,C,Shares,intraday,Long,4,2,6
134,03/05/2021,IND,477665,-0.02,-19823.1,24,25,23,2,23,0,A,Forex,positional,Long,4,2,4
135,17/07/2021,IND,898732,1.0,44037.87,41,37,26,11,22,0,B,FnO,positional,Long,4,2,4
136,03/05/2021,IND,910443,-0.02,-28678.95,24,4,0,4,0,1,B,Commodities,intraday,Short,1,1,5
137,25/06/2021,IND,449083,0.05,9879.83,19,12,2,10,1,2,A,Forex,intraday,Short,2,1,7
138,04/04/2021,IND,379376,-0.75,-14036.91,24,42,18,24,6,24,D,FnO,positional,Short,3,1,3
139,24/04/2021,IND,249079,0.15,1868.09,39,25,10,15,6,10,A,Forex,intraday,Short,4,2,6
140,28/04/2021,IND,908727,0.53,42710.17,40,20,7,13,3,4,C,FnO,swing,Short,3,2,10
141,04/05/2021,IND,1498503,-0.21,-35964.07,38,46,5,41,3,1,B,Forex,positional,Short,2,2,8
142,07/05/2021,IND,984065,-0.11,7380.49,21,6,1,5,0,3,A,Forex,swing,Short,3,2,2
143,26/06/2021,IND,622272,-1.72,14623.39,28,40,21,19,4,1,C,FnO,scalping,Long,2,2,1
144,30/06/2021,IND,1314415,0.6,23002.26,38,43,13,30,1,6,D,Commodities,positional,Long,1,1,4
145,14/04/2021,IND,565653,1.0,-3111.09,15,24,23,1,5,1,B, Equity,intraday,Short,2,2,2
146,13/04/2021,IND,294712,-0.03,10314.92,43,3,2,1,0,1,D,Forex,intraday,Short,3,2,7
147,23/05/2021,IND,438414,1.47,6357.0,13,42,18,24,2,6,A,FnO,intraday,Long,1,1,8
148,04/06/2021,IND,520489,-0.04,12231.49,30,22,5,17,0,5,A,FnO,positional,Long,1,1,1
149,18/06/2021,IND,1055792,-0.04,-36424.82,6,44,22,22,10,13,C, Equity,swing,Long,2,1,3
150,26/04/2021,IND,424822,-0.1,-11257.78,23,44,15,29,0,19,D,Shares,scalping,Long,1,2,3
151,16/05/2021,IND,1482080,-0.41,66693.6,31,18,8,10,1,8,D, Equity,positional,Short,2,1,5
152,17/06/2021,IND,93483,-0.04,2757.75,9,41,30,11,19,0,C, Equity,intraday,Short,4,1,7
153,31/05/2021,IND,433153,0.36,-14510.63,20,42,31,11,6,5,D, Equity,scalping,Short,1,2,9
154,03/04/2021,IND,1295904,-0.37,51188.21,48,42,10,32,3,10,C,Shares,swing,Short,3,2,9
155,18/07/2021,IND,662611,-0.68,-15902.66,34,22,14,8,13,1,C,Shares,swing,Short,3,2,5
156,10/04/2021,IND,431098,-0.12,15950.63,3,14,10,4,10,0,C,Commodities,positional,Short,2,1,5
157,01/04/2021,IND,682705,-0.24,-6144.35,17,50,25,25,25,12,C,Forex,intraday,Short,4,2,10
158,08/04/2021,IND,668108,0.07,-22047.56,45,25,8,17,4,6,C,FnO,swing,Long,2,1,6
159,14/04/2021,IND,1159749,1.0,23774.85,34,16,4,12,0,9,C, Equity,scalping,Long,4,2,4
160,17/05/2021,IND,1019571,1.07,9685.92,44,25,9,16,3,4,B, Equity,scalping,Long,2,2,3
161,01/07/2021,IND,1014694,-0.61,-16742.45,17,37,3,34,0,29,C, Equity,swing,Short,1,2,2
162,06/05/2021,IND,1136143,-1.01,19882.5,23,30,0,30,0,4,D, Equity,swing,Long,1,2,10
163,07/06/2021,IND,1317245,0.75,-32931.12,13,24,20,4,14,1,A,Shares,intraday,Short,4,2,7
164,28/05/2021,IND,671339,-0.15,29538.92,37,32,29,3,17,1,B,FnO,scalping,Long,2,1,5
165,12/07/2021,IND,508365,0.52,-21859.69,1,28,1,27,0,22,B,Forex,scalping,Long,3,2,1
166,03/07/2021,IND,1289204,-0.17,-49634.35,45,35,13,22,3,15,B,Forex,scalping,Long,1,2,10
167,09/05/2021,IND,1217633,-0.84,-26787.93,12,8,4,4,0,1,C,Shares,scalping,Short,2,1,7
168,23/05/2021,IND,65047,1.47,1235.89,44,4,2,2,0,2,D,Forex,swing,Short,4,2,4
169,13/07/2021,IND,1127618,0.04,37775.2,22,6,0,6,0,5,A,Forex,scalping,Short,2,2,3
170,26/05/2021,IND,325390,-0.14,14154.47,31,50,26,24,10,22,B,Commodities,intraday,Short,2,2,2
171,13/04/2021,IND,793000,-0.03,29341.0,13,50,37,13,5,3,C,Forex,intraday,Short,4,2,6
172,25/05/2021,IND,1121075,-0.75,-17937.2,1,20,8,12,2,6,D,FnO,scalping,Short,3,1,3
173,20/04/2021,IND,1284422,0.48,-40459.29,47,49,24,25,22,21,C,Forex,scalping,Long,1,1,3
174,16/07/2021,IND,57984,-0.57,-985.73,16,36,28,8,5,7,B,Forex,intraday,Long,1,1,1
175,16/06/2021,IND,812519,0.01,-19906.72,41,21,4,17,1,7,C, Equity,positional,Short,4,1,1
176,27/06/2021,IND,1229907,0.5,40586.93,21,34,18,16,5,1,A,Shares,swing,Short,3,2,5
177,13/07/2021,IND,572071,0.04,-20308.52,19,17,9,8,0,8,A,Forex,positional,Long,1,2,10
178,15/05/2021,IND,561836,0.58,15450.49,8,24,22,2,9,0,C,FnO,intraday,Short,4,1,8
179,25/06/2021,IND,846157,0.05,-40615.54,39,34,9,25,6,14,D,Commodities,scalping,Short,4,1,7
180,11/07/2021,IND,547035,-0.6,-8479.04,23,31,10,21,7,3,D,FnO,positional,Long,3,1,2
181,05/06/2021,IND,298565,0.04,3284.22,5,23,22,1,8,0,D,Shares,positional,Long,4,2,8
182,20/06/2021,IND,1228593,0.16,58358.17,44,9,4,5,3,5,D,Shares,positional,Long,3,1,2
183,25/05/2021,IND,930891,-0.75,-20945.05,36,39,25,14,12,13,C,Forex,swing,Short,4,2,3
184,19/06/2021,IND,1075034,-0.39,-52676.67,39,5,4,1,3,0,A,Forex,scalping,Long,1,2,7
185,30/06/2021,IND,1194299,0.6,-14331.59,22,40,19,21,10,20,B,Shares,positional,Long,3,2,5
186,15/06/2021,IND,558038,0.14,26785.82,46,26,14,12,3,3,A,FnO,scalping,Long,1,1,4
187,21/04/2021,IND,918728,-0.19,-36289.76,10,36,8,28,7,11,C,Forex,positional,Long,3,2,5
188,11/07/2021,IND,367711,-0.6,-16546.99,16,42,18,24,9,15,D,Shares,intraday,Long,3,2,7
189,24/06/2021,IND,1441101,0.18,-72055.05,14,5,2,3,2,3,B,FnO,swing,Short,2,2,3
190,01/07/2021,IND,800464,-0.61,-31218.1,49,22,10,12,5,10,A,Forex,intraday,Short,4,2,1
191,09/06/2021,IND,1458472,-0.61,-23335.55,50,18,13,5,7,5,C,Commodities,swing,Short,4,2,6
192,18/05/2021,IND,1472967,0.44,-42716.04,30,43,0,43,0,9,D,FnO,intraday,Long,1,2,10
193,24/06/2021,IND,1073458,0.18,37034.3,27,9,2,7,2,3,A, Equity,intraday,Short,1,2,4
194,05/07/2021,IND,121092,-0.11,-666.01,13,18,4,14,0,3,C,Shares,scalping,Short,1,2,4
195,21/05/2021,IND,270764,0.14,12184.38,48,3,3,0,3,0,A,Forex,positional,Long,3,2,4
196,21/05/2021,IND,84130,0.14,3070.74,14,1,0,1,0,0,B, Equity,scalping,Long,2,1,1
197,11/05/2021,IND,69081,0.42,2106.97,26,44,15,29,15,27,A,Forex,positional,Long,3,2,9
198,02/07/2021,IND,573457,-0.26,11182.41,35,6,6,0,4,0,C,Shares,swing,Short,4,2,9
199,22/04/2021,IND,756849,-0.36,6433.22,38,49,17,32,2,26,D, Equity,intraday,Long,1,2,2
200,12/06/2021,IND,1299379,-0.84,-51975.16,5,28,28,0,4,0,C,Forex,intraday,Long,3,1,7
201,25/06/2021,IND,1210662,0.05,-32687.87,38,3,1,2,1,0,D,Forex,positional,Long,1,2,2
202,07/05/2021,IND,1191854,-0.11,-36351.55,8,2,2,0,1,0,D,Shares,intraday,Short,3,2,5
203,29/06/2021,IND,553655,0.32,12734.07,47,14,0,14,0,8,B,Commodities,swing,Short,2,1,1
204,30/04/2021,IND,532385,-0.93,-19964.44,28,45,12,33,10,33,C,FnO,intraday,Long,1,2,2
205,31/05/2021,IND,53004,0.36,344.53,46,16,5,11,2,6,D, Equity,positional,Short,4,1,5
206,14/05/2021,IND,675716,-1.39,-33447.94,23,32,2,30,0,13,D,Shares,intraday,Long,4,2,3
207,17/06/2021,IND,407270,-0.04,3054.53,45,17,12,5,5,1,A,Forex,scalping,Short,1,1,3
208,17/06/2021,IND,1161171,-0.04,-25545.76,36,19,14,5,7,4,C,Forex,scalping,Long,2,1,1
209,14/04/2021,IND,450976,1.0,-13078.3,16,16,16,0,8,0,A,FnO,positional,Long,1,1,4
210,13/05/2021,IND,1360732,-0.05,24493.18,16,38,19,19,10,4,B,Forex,swing,Short,2,2,9
211,07/05/2021,IND,950329,-0.11,42289.64,31,40,21,19,20,4,B,FnO,positional,Short,4,1,1
212,09/07/2021,IND,1252683,-0.08,-58876.1,45,15,2,13,1,0,A,Commodities,swing,Long,3,1,7
213,27/06/2021,IND,1181651,0.5,43721.09,42,13,8,5,6,4,D,Forex,intraday,Long,1,1,10
214,30/05/2021,IND,1079930,0.08,-53456.54,26,20,0,20,0,4,C,FnO,positional,Short,2,1,6
215,27/05/2021,IND,204871,-0.67,2663.32,24,4,0,4,0,4,B,FnO,intraday,Short,1,1,4
216,06/04/2021,IND,1205657,0.32,13262.23,39,7,4,3,0,0,D,Commodities,positional,Short,1,1,5
217,14/06/2021,IND,689856,-0.05,34147.87,43,17,6,11,2,11,B,Commodities,positional,Short,4,1,7
218,11/05/2021,IND,1273171,0.42,34375.62,7,48,18,30,11,1,D,Shares,positional,Short,1,1,9
219,15/04/2021,IND,65027,-0.14,2536.05,30,43,28,15,25,4,A, Equity,swing,Long,4,1,5
220,30/06/2021,IND,1418082,0.6,57432.32,33,47,9,38,0,15,B, Equity,intraday,Short,1,2,1
221,05/06/2021,IND,444677,0.04,14229.66,19,36,3,33,1,26,B,Shares,swing,Short,1,2,9
222,30/04/2021,IND,1276696,-0.93,-57451.32,14,6,5,1,0,1,A, Equity,intraday,Short,4,2,1
223,22/04/2021,IND,315456,-0.36,-5678.21,30,46,30,16,7,7,C,Commodities,swing,Long,3,2,5
224,19/05/2021,IND,657618,-0.47,-6576.18,43,9,2,7,1,6,C,Commodities,intraday,Long,3,2,9
225,18/06/2021,IND,147103,-0.04,1985.89,29,46,22,24,22,22,C,Commodities,scalping,Short,1,1,6
226,10/07/2021,IND,1216807,-1.1,-15210.09,32,14,9,5,6,5,B,Commodities,scalping,Long,2,1,4
227,09/06/2021,IND,305997,-0.61,14687.86,25,32,1,31,1,0,A,Forex,intraday,Short,2,1,2
228,21/05/2021,IND,439971,0.14,18698.77,2,16,14,2,7,2,C,FnO,swing,Short,1,1,6
229,27/06/2021,IND,621006,0.5,-11488.61,3,39,25,14,9,1,C, Equity,scalping,Short,1,2,10
230,12/05/2021,IND,1078219,0.38,-20486.16,50,47,22,25,21,10,C,Forex,swing,Long,3,2,8
231,19/06/2021,IND,357228,-0.39,-17861.4,23,13,2,11,0,2,C,Forex,swing,Short,3,1,7
232,15/04/2021,IND,1027906,-0.14,14904.64,9,31,22,9,13,9,A,FnO,intraday,Long,2,1,4
233,18/06/2021,IND,866132,-0.04,27716.22,32,22,17,5,5,2,C, Equity,swing,Short,4,2,10
234,20/05/2021,IND,767107,-0.46,-11890.16,25,11,3,8,1,6,A,Forex,swing,Long,1,1,9
235,29/06/2021,IND,1354420,0.32,52822.38,37,20,3,17,3,10,B,Shares,positional,Long,3,2,5
236,07/07/2021,IND,590299,-0.36,-5017.54,21,23,5,18,3,5,B,Commodities,scalping,Short,2,2,1
237,16/04/2021,IND,113087,0.32,904.7,43,39,10,29,4,12,C,Commodities,positional,Short,2,1,5
238,04/07/2021,IND,525319,-0.32,-19436.8,6,45,10,35,9,13,D,Forex,positional,Short,4,2,9
239,01/07/2021,IND,458103,-0.61,2748.62,48,4,3,1,2,0,B,Commodities,swing,Long,3,1,3
240,27/04/2021,IND,412957,-0.17,18376.59,47,47,25,22,20,22,A, Equity,intraday,Long,2,2,2
241,06/04/2021,IND,892798,0.32,-17409.56,43,8,5,3,1,0,B,Shares,scalping,Long,4,1,5
242,17/04/2021,IND,836700,-0.73,-22590.9,15,3,0,3,0,0,D,Shares,swing,Short,3,2,8
243,10/06/2021,IND,249148,0.27,-5605.83,23,20,3,17,2,13,C, Equity,swing,Short,2,1,5
244,29/04/2021,IND,1497339,-1.2,-24706.09,12,44,31,13,5,13,B,Commodities,scalping,Long,1,2,5
